geo_name,geo_id,pop_2016,adult_obesity_2017,poverty_rate_2016,high_school_graduation_2017,unemployment_2017,violent_crime_2017,age,median_property_value_2016
"Antrim County, MI",05000US26009,59316,0.322,0.129486338797814,0.87,0.072,139.84,34.6,139300
"Arenac County, MI",05000US26011,106107,0.34,0.192070542995425,0.828,0.086,194.63,34.6,94500
"Baraga County, MI",05000US26013,17462,0.325,0.150365195300095,,0.088,297.32,34.7,158100
"Barry County, MI",05000US26015,155134,0.312,0.093499066892667,0.87,0.041,152.19,34.7,137000
"Bay County, MI",05000US26017,43603,0.354,0.157751456681631,0.797,0.055,295.62,34.7,95200
"Benzie County, MI",05000US26019,134691,0.287,0.11175583149588,0.771,0.066,106.98,34.7,99400
"Berrien County, MI",05000US26021,51795,0.348,0.178868530336602,0.682,0.05,430.04,34.7,128200
"Branch County, MI",05000US26023,26172,0.318,0.178869683433676,0.822,0.049,226.44,34.7,155100
"Calhoun County, MI",05000US26025,25579,0.339,0.170041507097484,0.749,0.049,577.35,34.7,113300
"Cass County, MI",05000US26027,38330,0.353,0.148618139353834,0.82,0.048,169.38,34.7,109700
"Charlevoix County, MI",05000US26029,30608,0.286,0.124456859093731,0.784,0.057,136.63,34.7,83300
"Cheboygan County, MI",05000US26031,77245,0.332,0.186437319170861,0.871,0.088,139.58,34.7,160000
"Chippewa County, MI",05000US26033,13840,0.346,0.17672896645245,0.767,0.074,251.03,34.7,93500
"Clare County, MI",05000US26035,36570,0.338,0.241982604076755,0.86,0.074,307.21,34.7,103900
"Clinton County, MI",05000US26037,25889,0.316,0.113536602942911,0.888,0.037,107.71,34.7,88100
"Crawford County, MI",05000US26039,108544,0.304,0.171635182998819,0.825,0.075,307.74,34.7,137300
"Delta County, MI",05000US26041,33091,0.321,0.165721434528774,0.859,0.065,202.9,34.7,166100
"Dickinson County, MI",05000US26043,413090,0.301,0.146145988842618,0.854,0.054,,34.7,91800
"Eaton County, MI",05000US26045,25367,0.357,0.11142648381295,0.779,0.042,190.04,34.7,95700
"Emmet County, MI",05000US26047,15650,0.298,0.105499784442939,0.9,0.069,148.19,34.7,69800
"Genesee County, MI",05000US26049,90715,0.33,0.209125372724419,0.764,0.058,765.4,34.7,173900
"Gladwin County, MI",05000US26051,41676,0.347,0.203309409888357,0.849,0.069,239.69,34.7,89000
"Gogebic County, MI",05000US26053,46024,0.313,0.20621188483903,0.827,0.07,110.17,34.7,99400
"Grand Traverse County, MI",05000US26055,36565,0.268,0.09801566165388,0.793,0.044,189.48,34.7,96100
"Gratiot County, MI",05000US26057,32021,0.336,0.189948654983815,0.835,0.054,178.62,34.7,93000
"Hillsdale County, MI",05000US26059,284559,0.32,0.18616338028169,0.795,0.051,191.76,34.7,119100
"Houghton County, MI",05000US26061,64126,0.307,0.227745260767013,0.843,0.06,96.98,34.7,113100
"Huron County, MI",05000US26063,25373,0.315,0.139451577112062,0.89,0.051,168.77,34.7,85500
"Ingham County, MI",05000US26065,11393,0.304,0.222278595185749,0.757,0.044,552.79,34.7,74800
"Ionia County, MI",05000US26067,70574,0.38,0.143066349370122,0.806,0.044,187.23,34.7,127100
"Iosco County, MI",05000US26069,159483,0.332,0.168916204707962,0.723,0.072,228.49,34.7,115700
"Iron County, MI",05000US26071,258605,0.291,0.172251829103062,,0.067,152.35,34.7,140900
"Isabella County, MI",05000US26073,17259,0.309,0.287730693564001,0.794,0.045,198.12,34.7,100200
"Jackson County, MI",05000US26075,629352,0.337,0.167410132084936,0.796,0.051,381.67,34.7,144300
"Kalamazoo County, MI",05000US26077,2195,0.306,0.174847608596397,0.766,0.041,458.06,34.7,98800
"Kalkaska County, MI",05000US26079,11415,0.316,0.167512390842577,0.631,0.073,240.48,34.7,79100
"Kent County, MI",05000US26081,88310,0.287,0.148708139536762,0.783,0.036,378.23,34.7,141200
"Keweenaw County, MI",05000US26083,21764,0.309,0.170105456212746,,0.087,211.42,34.7,243500
"Lake County, MI",05000US26085,98673,0.32,0.272397204320595,,0.082,284.71,34.7,119400
"Lapeer County, MI",05000US26087,185841,0.303,0.102937780036029,0.858,0.075,163.82,34.7,204000
"Leelanau County, MI",05000US26089,6451,0.266,0.086775135586149,0.64,0.05,49.33,34.7,80300
"Lenawee County, MI",05000US26091,10998,0.308,0.143802183686577,0.862,0.048,216.53,34.7,124100
"Livingston County, MI",05000US26093,859703,0.296,0.0594491794041,0.873,0.049,100.73,34.7,134800
"Luce County, MI",05000US26095,24465,0.326,0.210176991150442,,0.066,326.91,34.8,109800
"Mackinac County, MI",05000US26097,67418,0.311,0.155197792088316,,0.093,246.45,34.8,137700
"Macomb County, MI",05000US26099,28755,0.333,0.120405642164991,0.813,0.061,293.5,34.8,123200
"Manistee County, MI",05000US26101,43259,0.346,0.161085150571132,0.539,0.063,225.96,34.8,111300
"Marquette County, MI",05000US26103,23568,0.292,0.165710917837459,0.857,0.057,141.74,34.8,93700
"Mason County, MI",05000US26105,83559,0.299,0.162338578787665,0.821,0.058,298.85,34.8,131100
"Mecosta County, MI",05000US26107,15032,0.35,0.22602637472008,0.79,0.059,551.2,34.8,103900
"Menominee County, MI",05000US26109,149945,0.344,0.150686113748166,0.803,0.051,181.21,34.8,141500
"Midland County, MI",05000US26111,62922,0.305,0.122743902439024,0.868,0.047,122.55,34.8,96500
"Missaukee County, MI",05000US26113,9317,0.322,0.150336473755047,0.908,0.063,199.29,34.8,95100
"Monroe County, MI",05000US26115,172148,0.338,0.108424147604661,0.833,0.044,256.19,34.8,101400
"Montcalm County, MI",05000US26117,47957,0.34,0.173898570263478,0.922,0.054,272.51,34.8,101200
